,mean,mean_se,mean_ci_lower,mean_ci_upper
2024-01-02,2846.3887034726654,731.3011240706933,1413.064838440449,4279.712568504881
2024-01-03,2658.174232654716,732.6125745904288,1222.2799718363115,4094.0684934731207
2024-01-04,2747.6221453154235,732.6248004816966,1311.7039221904552,4183.540368440392
2024-01-05,2716.4048931287084,732.6249172387672,1280.4864411640867,4152.32334509333
2024-01-06,2625.0440938700654,732.6295744707817,1189.116513898428,4060.971673841703
2024-01-07,2750.8838044128674,732.6327411619743,1314.9500178405422,4186.8175909851925
2024-01-08,2582.8835808265535,732.6300190819775,1146.9551294329851,4018.812032220122
2024-01-09,2914.1674084414885,732.7981332213287,1477.9094593894997,4350.425357493477
2024-01-10,2662.2985424943536,732.8013241963554,1226.0343392462369,4098.562745742471
2024-01-11,2748.145117976451,732.80150366824,1311.880562969904,4184.409672982998
2024-01-12,2716.724115059755,732.8011428254562,1280.460267292069,4152.987962827441
2024-01-13,2625.3517883162062,732.8059561076064,1189.078506688858,4061.6250699435545
2024-01-14,2751.190846675292,732.8093985161483,1314.9108180511816,4187.470875299403
2024-01-15,2583.190586190764,732.8066053836914,1146.9160320056733,4019.4651403758544
2024-01-16,2914.4744117181303,732.9758219232467,1477.8681992099225,4351.080624226338
2024-01-17,2662.6055456528884,732.979077719383,1225.9929519015125,4099.218139404265
2024-01-18,2748.4521211283036,732.9792614934868,1311.839167186303,4185.065075070304
2024-01-19,2717.03111821123,732.9789066646642,1280.4188597209422,4153.643376701518
2024-01-20,2625.6587914676597,732.9839026308011,1189.0367410636757,4062.280841871644
2024-01-21,2751.497849826744,732.9876221369676,1314.8685093246336,4188.127190328854
2024-01-22,2583.4975893422165,732.9847580865792,1146.8738622757173,4020.1213164087158
2024-01-23,2914.781414869583,733.1550761666066,1477.823870500314,4351.738959238852
2024-01-24,2662.912548804341,733.1583967536843,1225.9484962039921,4099.87660140469
2024-01-25,2748.759124279756,733.158584835526,1311.7947030457715,4185.723545513741
2024-01-26,2717.338121362682,733.1582360264855,1280.3743837818542,4154.3018589435105
2024-01-27,2625.965794619112,733.1634145849087,1188.9919072502828,4062.939681987941
2024-01-28,2751.8048529781963,733.1674110535442,1314.8231326747762,4188.786573281616
2024-01-29,2583.804592493668,733.1644761339529,1146.8286245269444,4020.780560460392
2024-01-30,2915.0884180210346,733.335894859678,1477.776475525614,4352.400360516455
2024-01-31,2663.2195519557927,733.3392802067837,1225.9009743019699,4100.538129609616
